iter	Logloss
0	0.6799288085
1	0.6682113526
2	0.6566225735
3	0.645426627
4	0.6343386664
5	0.6238430511
6	0.6139765517
7	0.6040544631
8	0.5948580165
9	0.5857321666
10	0.5766873587
11	0.5680903658
12	0.5595453495
13	0.55258976
14	0.5447511898
15	0.538247318
16	0.5320462753
17	0.5254646674
18	0.5192161804
19	0.5142721602
20	0.5087863868
21	0.5035417524
22	0.4986723757
23	0.4935908284
24	0.4893120591
25	0.4853086669
26	0.4809657566
27	0.4775042926
28	0.4736269375
29	0.4704094979
30	0.4665682658
31	0.46320955
32	0.4596281073
33	0.4564855522
34	0.4534720343
35	0.4504578757
36	0.447728718
37	0.4449994087
38	0.4426861819
39	0.4405313921
40	0.4379369462
41	0.435461911
42	0.4329412082
43	0.4313309693
44	0.4291016978
45	0.4271634033
46	0.4251703175
47	0.4229793976
48	0.4211252244
49	0.4192527631
50	0.4179184296
51	0.416337702
52	0.4148281994
53	0.4132451875
54	0.411777261
55	0.4100018891
56	0.408628912
57	0.4075379906
58	0.4063222438
59	0.4052669356
60	0.4043536203
61	0.4031982913
62	0.4021106094
63	0.4010842528
64	0.3999727996
65	0.3989883296
66	0.3977884935
67	0.396913651
68	0.3961733143
69	0.3952257964
70	0.3943840728
71	0.3934406862
72	0.3925222556
73	0.391751951
74	0.390839369
75	0.3901735251
76	0.3893618202
77	0.3885699212
78	0.3879868006
79	0.3872583726
80	0.3865574603
81	0.385838566
82	0.3852144782
83	0.3845218002
84	0.383961638
85	0.3836201205
86	0.3829557227
87	0.3823096192
88	0.3818383816
89	0.3813593151
90	0.3808625169
91	0.3804763136
92	0.3799649699
93	0.3796125455
94	0.3791026283
95	0.3787332389
96	0.3783443712
97	0.3779160103
98	0.3774580852
99	0.3770429441
100	0.3766980066
101	0.3765395914
102	0.3760168004
103	0.375734778
104	0.3751972148
105	0.3748154796
106	0.3744283734
107	0.3741421655
108	0.3738403892
109	0.3735743395
110	0.3732619051
111	0.372785758
112	0.3725854417
113	0.372352739
114	0.3719473565
115	0.3715861756
116	0.3711995377
117	0.3708956977
118	0.3706519023
119	0.3703882932
120	0.3701671867
121	0.3698523244
122	0.3696794121
123	0.3692735255
124	0.3689590033
125	0.3687728354
126	0.3684639924
127	0.3681974942
128	0.3680468885
