iter	Passed	Remaining
0	2	2685
1	4	2096
2	5	1957
3	7	1937
4	9	1880
5	11	1869
6	12	1797
7	14	1759
8	15	1714
9	17	1686
10	18	1654
11	20	1659
12	21	1656
13	23	1684
14	25	1670
15	26	1657
16	28	1643
17	29	1631
18	31	1622
19	32	1615
20	34	1607
21	35	1596
22	37	1587
23	38	1584
24	40	1579
25	42	1579
26	43	1570
27	45	1564
28	46	1552
29	47	1544
30	49	1536
31	50	1530
32	51	1523
33	53	1519
34	55	1522
35	56	1517
36	58	1513
37	59	1509
38	61	1514
39	62	1510
40	64	1505
41	65	1501
42	67	1495
43	68	1493
44	70	1491
45	72	1494
46	73	1496
47	75	1493
48	76	1490
49	78	1486
50	79	1481
51	80	1476
52	82	1472
53	83	1469
54	85	1468
55	87	1468
56	88	1465
57	90	1463
58	91	1460
59	93	1458
60	94	1457
61	96	1453
62	97	1449
63	98	1445
64	100	1442
65	101	1439
66	103	1436
67	104	1432
68	106	1430
69	107	1426
70	108	1423
71	110	1421
72	111	1419
73	113	1416
74	114	1413
75	115	1409
76	117	1406
77	118	1404
78	120	1403
79	121	1399
80	123	1395
81	124	1391
82	125	1388
83	126	1384
84	128	1383
85	129	1381
86	131	1378
87	132	1375
88	134	1371
89	135	1371
90	137	1369
91	138	1366
92	139	1364
93	141	1362
94	142	1358
95	143	1355
96	145	1352
97	146	1349
98	148	1347
99	149	1344
100	150	1341
101	152	1338
102	153	1335
103	154	1332
104	156	1329
105	157	1326
106	158	1325
107	160	1323
108	161	1321
109	162	1318
110	164	1315
111	165	1313
112	167	1311
113	168	1309
114	169	1308
115	171	1306
116	172	1304
117	174	1301
118	175	1301
119	177	1299
120	178	1297
121	180	1295
122	181	1293
123	182	1291
124	184	1288
125	185	1287
126	187	1286
127	188	1285
128	190	1284
129	191	1282
130	193	1280
131	194	1282
132	196	1281
133	198	1280
134	199	1278
135	201	1278
136	202	1276
137	204	1274
138	205	1272
139	206	1271
140	208	1270
141	210	1270
142	211	1270
143	213	1268
144	215	1268
145	216	1266
146	218	1266
147	220	1267
148	222	1267
149	223	1267
150	225	1266
151	226	1264
152	228	1262
153	229	1261
154	231	1259
155	232	1256
156	233	1255
157	235	1253
158	236	1251
159	238	1249
160	240	1251
161	241	1250
162	243	1248
163	244	1246
164	245	1244
165	247	1242
166	248	1240
167	250	1238
168	251	1236
169	253	1235
170	254	1233
171	255	1231
172	257	1230
173	258	1228
174	260	1226
175	261	1225
176	263	1223
177	264	1221
178	265	1219
179	267	1218
180	268	1216
181	270	1214
182	271	1212
183	273	1210
184	274	1208
185	275	1206
186	277	1204
187	278	1202
188	279	1201
189	281	1200
190	283	1199
191	284	1198
192	286	1196
193	287	1194
194	288	1192
195	290	1190
196	291	1188
197	293	1187
198	294	1185
199	296	1184
200	297	1182
201	298	1181
202	300	1179
203	301	1178
204	303	1177
205	305	1176
206	306	1173
207	307	1172
208	309	1170
209	310	1169
210	312	1167
211	313	1165
212	314	1163
213	316	1161
214	317	1160
215	319	1159
216	320	1157
217	322	1155
218	323	1154
219	325	1152
220	326	1150
221	327	1148
222	329	1146
223	330	1145
224	332	1144
225	333	1142
226	335	1141
227	336	1139
228	337	1137
229	339	1136
230	340	1134
231	342	1132
232	343	1130
233	344	1128
234	346	1127
235	347	1125
236	349	1123
237	350	1122
238	351	1120
239	353	1119
240	355	1118
241	356	1116
242	357	1114
243	359	1112
244	360	1110
245	361	1108
246	363	1107
247	364	1105
248	365	1103
249	367	1101
250	368	1099
251	370	1099
252	372	1098
253	373	1097
254	374	1094
255	376	1093
256	377	1092
257	379	1090
258	380	1089
259	382	1088
260	383	1086
261	385	1085
262	386	1084
263	388	1082
264	389	1081
265	391	1081
266	393	1079
267	394	1078
268	396	1076
269	397	1075
270	399	1073
271	400	1072
272	402	1070
273	403	1069
274	405	1068
275	406	1067
276	408	1065
277	409	1064
278	411	1063
279	413	1062
280	414	1061
281	416	1060
282	418	1059
283	419	1057
284	420	1056
285	422	1054
286	423	1052
287	425	1051
288	426	1049
289	428	1048
290	429	1046
291	430	1044
292	432	1043
293	433	1041
294	435	1039
295	436	1038
296	437	1036
297	439	1034
298	440	1033
299	441	1031
300	443	1029
301	444	1028
302	446	1026
303	447	1024
304	448	1021
305	449	1020
306	451	1019
307	453	1017
308	454	1016
309	455	1014
310	457	1013
311	458	1011
312	460	1009
313	461	1007
314	462	1006
315	464	1004
316	465	1003
317	467	1001
318	468	1000
319	469	998
320	471	996
321	472	995
322	473	993
323	475	991
324	476	989
325	478	988
326	479	987
327	481	985
328	482	984
329	483	982
330	485	980
331	486	979
332	487	977
333	489	975
334	490	974
335	492	972
336	493	971
337	495	969
338	496	968
339	497	966
340	499	964
341	500	963
342	501	961
343	503	959
344	504	957
345	505	956
346	507	954
347	508	952
348	509	951
349	511	949
350	512	948
351	514	946
352	515	945
353	517	943
354	518	941
355	519	940
356	521	938
357	522	936
358	523	935
359	525	933
360	526	932
361	527	930
362	529	928
363	530	927
364	532	925
365	533	924
366	535	923
367	536	921
368	537	919
369	539	918
370	541	917
371	542	916
372	544	914
373	545	913
374	546	911
375	548	910
376	550	909
377	551	907
378	553	906
379	554	904
380	555	902
381	557	901
382	558	899
383	559	897
384	561	896
385	562	894
386	564	893
387	565	891
388	567	890
389	568	889
390	569	887
391	571	886
392	572	884
393	574	883
394	575	881
395	577	880
396	578	879
397	580	877
398	581	875
399	582	874
400	583	872
401	585	870
402	586	868
403	587	867
404	589	865
405	590	864
406	592	862
407	593	861
408	594	859
409	596	858
410	597	856
411	598	854
412	600	853
413	601	851
414	603	850
415	604	849
416	606	848
417	608	847
418	610	846
419	612	845
420	613	843
421	615	842
422	616	841
423	617	839
424	620	839
425	622	838
426	624	837
427	625	836
428	627	834
429	628	833
430	630	832
431	631	830
432	633	829
433	634	827
434	636	826
435	637	824
436	639	823
437	640	822
438	642	820
439	643	819
440	645	818
441	647	816
442	648	815
443	650	814
444	651	813
445	653	811
446	654	810
447	656	808
448	657	807
449	659	805
450	660	804
451	662	802
452	663	801
453	665	799
454	666	798
455	668	796
456	669	795
457	670	793
458	672	792
459	673	790
460	674	789
461	676	787
462	677	786
463	679	784
464	680	782
465	682	781
466	683	780
467	685	778
468	686	777
469	688	776
470	689	774
471	691	773
472	692	771
473	693	770
474	695	768
475	696	767
476	698	765
477	699	763
478	701	762
479	702	760
480	703	759
481	705	758
482	707	756
483	708	755
484	709	753
485	711	752
486	712	750
487	714	749
488	715	748
489	717	746
490	718	745
491	721	744
492	722	743
493	724	741
494	725	740
495	726	738
496	728	737
497	729	735
498	730	733
499	732	732
500	733	730
501	735	729
502	736	727
503	738	726
504	739	725
505	741	723
506	742	722
507	744	721
508	746	719
509	747	718
510	749	716
511	751	716
512	752	714
513	754	713
514	755	711
515	757	710
516	758	708
517	760	707
518	761	705
519	763	704
520	764	702
521	765	701
522	767	699
523	768	698
524	770	696
525	771	695
526	773	694
527	774	692
528	776	691
529	777	689
530	779	688
531	780	686
532	782	685
533	783	683
534	785	682
535	786	680
536	787	679
537	789	677
538	790	676
539	792	674
540	793	673
541	795	672
542	796	670
543	798	669
544	799	667
545	801	666
546	803	665
547	804	663
548	806	662
549	808	661
550	810	660
551	811	658
552	813	657
553	814	655
554	816	654
555	817	653
556	819	651
557	820	649
558	821	648
559	823	646
560	824	645
561	826	643
562	827	642
563	829	641
564	831	639
565	832	638
566	834	636
567	835	635
568	837	634
569	838	632
570	840	631
571	841	629
572	843	628
573	844	626
574	846	625
575	847	623
576	848	622
577	850	620
578	851	619
579	853	617
580	854	616
581	856	614
582	857	613
583	859	612
584	860	610
585	861	608
586	863	607
587	864	606
588	866	604
589	868	603
590	869	601
591	870	600
592	872	598
