iter	Logloss
0	0.6799136156
1	0.6681828242
2	0.6565842261
3	0.6453770475
4	0.6342849779
5	0.6237834286
6	0.6139151755
7	0.6039922215
8	0.5947967602
9	0.5856757018
10	0.57663637
11	0.5680486526
12	0.5595120038
13	0.5525648574
14	0.5447314542
15	0.5382335387
16	0.5320354105
17	0.5254554694
18	0.5192068106
19	0.5142625159
20	0.508777368
21	0.5035326171
22	0.4986630491
23	0.4935797194
24	0.489298451
25	0.4852931722
26	0.4809483835
27	0.4774850006
28	0.4736048301
29	0.4703866842
30	0.4665440739
31	0.4631848181
32	0.4596032009
33	0.4564602822
34	0.4534471281
35	0.4504326694
36	0.4477033525
37	0.4449732642
38	0.4426597831
39	0.4405049153
40	0.4379091694
41	0.4354342526
42	0.4329132385
43	0.4313027457
44	0.4290731418
45	0.4271346006
46	0.425141417
47	0.422950555
48	0.4210965558
49	0.4192240876
50	0.4178901079
51	0.4163101484
52	0.4148008605
53	0.413217974
54	0.4117497509
55	0.4099735806
56	0.4086004203
57	0.4075088784
58	0.4062925775
59	0.4052367048
60	0.4043224659
61	0.403166124
62	0.4020769789
63	0.4010499256
64	0.3999372084
65	0.3989517004
66	0.3977509227
67	0.3968754659
68	0.3961346491
69	0.3951866633
70	0.394345012
71	0.3934014626
72	0.3924826984
73	0.3917123525
74	0.3907999359
75	0.3901338776
76	0.3893218112
77	0.3885296621
78	0.3879465637
79	0.3872176696
80	0.3865159985
81	0.3857965298
82	0.3851716682
83	0.3844788562
84	0.383918312
85	0.3835767377
86	0.3829123357
87	0.3822662314
88	0.3817948403
89	0.3813158713
90	0.3808196465
91	0.3804336201
92	0.379922405
93	0.3795700655
94	0.3790605593
95	0.3786912904
96	0.3783025414
97	0.3778744273
98	0.3774168625
99	0.3770018237
100	0.3766571432
101	0.3764988257
102	0.3759763036
103	0.3756943949
104	0.3751571266
105	0.3747758721
106	0.3743888936
107	0.374102906
108	0.3738009779
109	0.3735348965
110	0.3732223351
111	0.3727465402
112	0.3725462004
113	0.3723134233
114	0.3719081434
115	0.3715467609
116	0.3711603755
117	0.3708564803
118	0.3706125619
119	0.3703489683
120	0.3701278973
121	0.3698130448
122	0.3696401604
123	0.3692342735
124	0.3689196854
125	0.3687335745
126	0.3684245537
127	0.368158215
128	0.3680073916
129	0.3677832052
130	0.3676640619
131	0.3674844638
132	0.3672521779
133	0.3669226053
134	0.3667356001
135	0.3665697171
136	0.3663866075
137	0.3661644351
138	0.365890435
139	0.3656710422
140	0.3654268845
141	0.3653463233
142	0.3651178649
143	0.364828454
144	0.3645625003
145	0.3643033472
146	0.363971959
147	0.3637847643
148	0.3636371813
149	0.3633939114
150	0.3630817061
151	0.3628108044
152	0.3624993881
153	0.3623552633
154	0.3621431708
155	0.3619454436
156	0.3617187922
157	0.3614688485
158	0.3612584089
159	0.3611242782
160	0.3607804899
161	0.3603050273
162	0.3602177191
163	0.3599398431
164	0.3597129974
165	0.3595937552
166	0.3593296873
167	0.3592090782
168	0.3590152934
169	0.3587781713
170	0.3584962404
171	0.3583191919
172	0.3582199284
173	0.3580184148
174	0.3578945205
175	0.3577443732
176	0.3574387986
177	0.3573033156
178	0.3572206778
179	0.3570570815
180	0.3568363853
181	0.3566632204
182	0.3564801117
183	0.3563066731
184	0.3561355615
185	0.3559668286
186	0.3557455296
187	0.3554851563
188	0.3553054587
189	0.3552231901
190	0.3551547147
191	0.3551176004
192	0.3549755562
193	0.3548435826
194	0.3546146293
195	0.354448997
196	0.3542163375
197	0.3541496754
198	0.3540347282
199	0.3538310049
200	0.3536028352
201	0.3534127685
202	0.3533122521
203	0.3531216796
204	0.3530318244
205	0.3529195244
206	0.3526772376
207	0.3526485769
208	0.3525196854
209	0.3523508811
210	0.3521555399
211	0.3519526178
212	0.3517394063
213	0.3516356186
214	0.3513930265
215	0.3512467211
216	0.3510493719
217	0.3508974067
218	0.3508022845
219	0.3506485201
220	0.3505440745
221	0.3505016803
222	0.3502603674
223	0.3501542743
224	0.3500154209
225	0.3498596978
226	0.3497782662
227	0.3496932025
228	0.3495660902
229	0.3493673124
230	0.3492422574
231	0.3491471466
232	0.349015266
233	0.348749557
234	0.3486393488
235	0.3483473134
236	0.3482887385
237	0.3481848655
238	0.348047633
239	0.3479791067
240	0.3477177919
241	0.347451256
242	0.3473426471
243	0.3471540616
244	0.3469081776
245	0.3466900068
246	0.3465904742
247	0.3465274721
248	0.3463943142
249	0.3462244933
250	0.3461451019
251	0.3459453361
252	0.3458519014
253	0.3457656192
254	0.3457114165
255	0.3456743086
256	0.3454934201
257	0.345295577
258	0.3452135761
259	0.3451485576
260	0.3449558008
261	0.3448926392
262	0.3447903899
263	0.3447325166
264	0.3446134088
265	0.3445748901
266	0.344483359
267	0.3443687873
268	0.3443180101
269	0.3441341415
270	0.3439541996
271	0.3438319382
272	0.3436169871
273	0.343540434
274	0.3434814099
275	0.3433962361
276	0.3432650444
277	0.3431721051
278	0.3430297944
279	0.3429754722
280	0.3428933094
281	0.3427426837
282	0.3425833102
283	0.3425620947
284	0.3424727424
285	0.3423902265
286	0.3423127291
287	0.3422006974
288	0.3420973021
289	0.3418408538
290	0.341794417
291	0.3416919186
292	0.3416267781
293	0.3415129766
294	0.3413559919
295	0.3412101349
296	0.3410603761
297	0.3409521656
298	0.3408458152
299	0.3407366978
300	0.3405078328
301	0.3403913981
302	0.3402268643
303	0.3400549159
304	0.3399640744
305	0.3398874711
306	0.3398631616
307	0.3397216419
308	0.3396698824
309	0.3395143553
310	0.3394426263
311	0.3392535895
312	0.339145299
313	0.3390636677
314	0.3389882356
315	0.3388852013
316	0.3388565805
317	0.3387546382
318	0.3385973721
319	0.3383692201
320	0.3382199465
321	0.3381674871
322	0.3381352616
323	0.3380776408
324	0.3380005222
325	0.3379223523
326	0.3377582698
327	0.3377046588
328	0.3376405956
329	0.3374783245
330	0.3374017501
331	0.3373539515
332	0.3371955941
333	0.3369419266
334	0.336821416
335	0.3366115723
336	0.3365832982
337	0.3364627461
338	0.336435457
339	0.3363785129
340	0.3362447639
341	0.3358984876
342	0.3358063489
343	0.3356913224
344	0.3355377143
345	0.3355114359
346	0.3354778832
347	0.3354452207
348	0.3353155783
349	0.3351618926
350	0.3350902038
351	0.3350749846
352	0.3350445957
353	0.3349560356
354	0.3347691925
355	0.3344262432
356	0.3343073608
357	0.3342675912
358	0.3341441706
359	0.3341020539
360	0.3340306657
361	0.3339720122
362	0.3338677169
363	0.3337762805
364	0.3337050371
365	0.3335185697
366	0.3332640846
367	0.3332127081
368	0.3331032503
369	0.3330631242
370	0.332991651
