iter	Passed	Remaining
0	62	62254
1	64	32224
2	66	21943
3	68	16943
4	69	13832
5	71	11802
6	72	10349
7	74	9212
8	75	8367
9	77	7665
10	78	7082
11	80	6644
12	83	6302
13	84	5944
14	85	5643
15	87	5361
16	88	5108
17	89	4899
18	91	4713
19	92	4549
20	94	4406
21	95	4260
22	97	4158
23	99	4042
24	100	3935
25	102	3831
26	103	3747
27	105	3671
28	107	3587
29	108	3519
30	110	3464
31	112	3415
32	114	3343
33	115	3274
34	117	3229
35	118	3183
36	120	3126
37	122	3091
38	124	3055
39	126	3032
40	127	2984
41	129	2956
42	130	2912
43	132	2881
44	134	2858
45	136	2830
46	138	2801
47	139	2772
48	141	2736
49	143	2717
50	144	2688
51	146	2667
52	147	2642
53	150	2628
54	151	2608
55	153	2588
56	154	2564
57	156	2539
58	157	2519
59	159	2497
60	161	2479
61	162	2462
62	164	2447
63	166	2432
64	167	2409
65	169	2396
66	171	2385
67	173	2372
68	175	2368
69	177	2362
70	179	2347
71	180	2330
72	182	2319
73	184	2303
74	185	2291
75	187	2275
76	188	2257
77	189	2243
78	192	2247
79	194	2238
80	197	2237
81	198	2220
82	200	2211
83	202	2204
84	203	2189
85	206	2192
86	207	2182
87	209	2172
88	211	2160
89	212	2149
90	214	2140
91	215	2131
92	218	2126
93	219	2117
94	221	2109
95	223	2102
96	225	2097
97	227	2091
98	228	2080
99	230	2071
100	231	2058
101	232	2048
102	234	2040
103	235	2030
104	236	2019
105	238	2013
106	240	2005
107	242	1999
108	243	1993
109	245	1987
110	247	1984
111	249	1980
112	251	1977
113	253	1970
114	255	1964
115	256	1954
116	258	1950
117	260	1946
118	262	1941
119	263	1933
120	265	1925
121	267	1921
122	268	1917
123	271	1916
124	273	1912
125	275	1912
126	277	1910
127	279	1903
128	281	1900
129	282	1892
130	284	1887
131	285	1879
132	287	1875
133	289	1869
134	291	1864
135	293	1863
136	294	1856
137	296	1848
138	297	1844
139	299	1837
140	300	1830
141	302	1826
142	304	1826
143	307	1825
144	309	1823
145	310	1816
146	311	1809
147	313	1805
148	315	1801
149	316	1795
150	318	1788
151	320	1787
152	322	1785
153	323	1779
154	325	1773
155	326	1767
156	328	1761
157	329	1756
158	331	1754
159	334	1754
160	335	1748
161	337	1743
162	339	1740
163	340	1735
164	341	1729
165	343	1725
166	345	1722
167	347	1721
168	350	1721
169	351	1716
170	352	1710
171	354	1708
172	357	1707
173	358	1703
174	360	1699
175	362	1696
176	364	1695
177	366	1692
178	368	1688
179	369	1682
180	370	1678
181	373	1676
182	375	1675
183	376	1671
184	378	1668
185	380	1663
186	381	1660
187	384	1658
188	385	1655
189	387	1653
190	389	1648
191	391	1646
192	393	1645
193	395	1643
194	397	1642
195	399	1638
196	401	1635
197	403	1633
198	404	1629
199	406	1626
200	408	1622
201	409	1616
202	410	1612
203	413	1611
204	414	1607
205	415	1602
206	417	1600
207	419	1597
208	421	1593
209	423	1591
210	424	1587
211	425	1582
212	427	1578
213	428	1575
214	430	1573
215	432	1570
216	434	1566
217	436	1564
218	438	1563
219	440	1560
220	442	1558
221	443	1555
222	445	1551
223	446	1545
224	447	1542
225	449	1538
226	450	1533
227	452	1530
228	453	1527
229	455	1523
230	457	1522
231	459	1519
232	461	1517
233	462	1515
234	465	1515
235	467	1513
236	469	1512
237	472	1511
238	473	1508
239	475	1504
240	476	1501
241	478	1498
242	480	1495
243	481	1492
244	483	1488
245	484	1484
246	485	1480
247	487	1479
248	489	1475
249	490	1471
250	492	1470
251	495	1469
252	497	1467
253	498	1464
254	500	1461
255	501	1458
256	503	1456
257	505	1453
258	506	1450
259	508	1446
260	509	1443
261	511	1440
262	512	1436
263	514	1433
264	515	1429
265	516	1426
266	518	1422
267	519	1419
268	520	1415
269	522	1413
270	524	1410
271	526	1409
272	528	1406
273	529	1403
274	531	1400
275	532	1398
276	535	1397
277	536	1394
278	538	1392
279	540	1389
280	542	1388
281	544	1385
282	545	1382
283	547	1379
284	548	1376
285	550	1373
286	552	1371
287	554	1370
288	556	1368
289	557	1365
290	558	1361
291	560	1359
292	562	1357
293	564	1355
294	565	1352
295	567	1350
296	569	1347
297	570	1344
298	572	1341
299	573	1337
300	574	1334
301	576	1332
302	577	1328
303	578	1325
304	580	1322
305	581	1319
306	583	1316
307	585	1314
308	587	1313
309	588	1310
310	590	1307
311	591	1304
312	593	1302
313	595	1300
314	596	1297
315	598	1296
316	600	1294
317	602	1292
318	604	1290
319	605	1287
320	607	1284
321	608	1281
322	610	1279
323	612	1277
324	614	1276
325	616	1273
326	617	1271
327	618	1267
328	619	1264
329	621	1261
330	623	1259
331	624	1256
332	625	1253
333	627	1251
334	628	1247
335	630	1246
336	632	1244
337	634	1242
338	636	1240
339	638	1238
